map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,average_margin,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,proportionality,competitiveness,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,minority,alt_opportunity_districts,alt_coalition_districts,minority_alt,reock,polsby_popper,cut_score,compactness,county_splitting,district_splitting,counties_split,county_splits,splitting
000000037,0.007500,0.494300,0.034000,7,0.500000,6.523700,0.466000,6,0.028300,0.022600,0.017400,0.016600,0.005100,0.016000,0.004800,2.353600,0.017300,0.017500,-0.000300,0.000200,3.549300,0.253500,0.086800,2.911400,3.549300,0.253500,5.950000,0.594900,0.580700,86,34,0.000000,5,6.675700,5,50,0.817700,7.981900,58,0.422200,0.273500,652,56,1.236900,1.614500,17,20,19
000000038,0.008200,0.494300,0.082800,7,0.500000,5.841400,0.417200,5,0.077000,0.071300,0.063000,0.060700,0.013600,0.059700,0.014600,7.865500,0.032300,0.032700,-0.000500,0.012900,4.361900,0.311600,0.076300,3.447600,4.361900,0.311600,14.472300,0.599500,0.563400,61,42,0.000000,5,5.690600,5,50,0.752500,7.999800,58,0.431300,0.266300,648,58,1.233400,1.591100,16,20,20
000000039,0.008900,0.494300,0.082100,7,0.500000,5.849900,0.417900,5,0.076400,0.070700,0.062300,0.060000,0.013400,0.058900,0.014400,7.785400,0.032300,0.032800,-0.000500,0.012800,4.389100,0.313500,0.076300,3.466200,4.389100,0.313500,14.365800,0.599500,0.563400,62,42,0.000000,5,5.690600,5,50,0.752500,7.999600,58,0.431500,0.270600,648,58,1.234100,1.593600,16,20,20
000000040,0.009000,0.494300,0.081900,7,0.500000,5.853900,0.418100,5,0.076100,0.070400,0.062000,0.059700,0.013300,0.058700,0.014300,7.752200,0.031600,0.032100,-0.000500,0.012700,4.394800,0.313900,0.076300,3.469200,4.394800,0.313900,14.316200,0.599500,0.563400,62,42,0.000000,5,6.386300,5,50,0.752700,7.999400,58,0.431500,0.267400,656,58,1.234300,1.593800,16,20,20
000000041,0.009000,0.494300,0.081900,7,0.500000,5.853900,0.418100,5,0.076100,0.070400,0.062000,0.059700,0.013300,0.058700,0.014300,7.752200,0.031600,0.032100,-0.000500,0.012700,4.394800,0.313900,0.076300,3.469200,4.394800,0.313900,14.316200,0.599500,0.563400,62,42,0.000000,5,6.386300,5,50,0.752700,7.999400,58,0.431500,0.267400,656,58,1.234300,1.593800,16,20,20
000000042,0.009000,0.494300,0.081900,7,0.500000,5.853900,0.418100,5,0.076100,0.070400,0.062000,0.059700,0.013300,0.058700,0.014300,7.752200,0.031600,0.032100,-0.000500,0.012700,4.394800,0.313900,0.076300,3.469200,4.394800,0.313900,14.316200,0.599500,0.563400,62,42,0.000000,5,6.386300,5,50,0.752700,7.999400,58,0.431500,0.267400,656,58,1.234300,1.593800,16,20,20
000000043,0.009000,0.494300,0.081900,7,0.500000,5.853900,0.418100,5,0.076100,0.070400,0.062000,0.059700,0.013300,0.058700,0.014300,7.752200,0.031600,0.032100,-0.000500,0.012700,4.394800,0.313900,0.076300,3.469200,4.394800,0.313900,14.316200,0.599500,0.563400,62,42,0.000000,5,6.386300,5,50,0.752700,7.999400,58,0.431500,0.267400,656,58,1.234300,1.593800,16,20,20
000000044,0.009600,0.494300,0.086600,7,0.500000,5.788300,0.413400,5,0.080800,0.075100,0.066600,0.064000,0.013900,0.062900,0.015000,8.250100,0.031600,0.032000,-0.000400,0.013700,4.422300,0.315900,0.076400,3.482400,4.422300,0.315900,15.135700,0.599500,0.563600,60,42,0.000000,5,6.385900,5,50,0.659300,8.210200,56,0.428600,0.264200,660,56,1.235100,1.595800,16,20,19
000000045,0.009700,0.494300,0.088400,7,0.500000,5.762900,0.411600,5,0.082600,0.076900,0.068700,0.066100,0.014400,0.065000,0.015700,8.531300,0.033900,0.034400,-0.000500,0.014400,4.349300,0.310700,0.076300,3.434300,4.349300,0.310700,15.452300,0.599500,0.563400,59,41,0.000000,5,6.385900,5,50,0.659400,8.427100,56,0.427500,0.264700,661,56,1.235600,1.598200,16,20,19
000000046,0.009700,0.494300,0.075200,7,0.500000,5.947400,0.424800,5,0.069500,0.063700,0.057800,0.055000,0.013000,0.053700,0.012300,6.970500,0.033900,0.034500,-0.000600,0.011100,3.801100,0.271500,0.076400,3.037500,3.801100,0.271500,13.148200,0.599800,0.563400,65,36,0.000000,5,6.383600,5,50,0.658700,8.424800,56,0.435100,0.270900,667,58,1.234800,1.599400,16,20,19
000000047,0.009700,0.494300,0.075200,7,0.500000,5.947200,0.424800,5,0.069500,0.063800,0.057900,0.055000,0.013000,0.053800,0.012400,6.994300,0.033900,0.034600,-0.000600,0.011100,3.791200,0.270800,0.076500,3.029200,3.791200,0.270800,13.151200,0.600000,0.563400,65,36,0.000000,5,6.383500,5,50,0.658700,8.426400,56,0.434900,0.274300,666,59,1.233800,1.579800,15,19,22
000000048,0.009500,0.494300,0.024400,7,0.500000,6.657800,0.475600,6,0.018700,0.013000,0.011100,0.009400,0.003300,0.008500,0.009000,1.496600,0.024500,0.025400,-0.000900,-0.001200,2.848500,0.203500,0.091800,2.342000,2.848500,0.203500,4.274700,0.601500,0.584600,91,27,0.000000,5,6.686900,5,50,0.855500,8.406900,58,0.426000,0.283600,662,58,1.235500,1.585900,16,19,20
000000049,0.009500,0.494300,0.075100,7,0.500000,5.948800,0.424900,5,0.069400,0.063700,0.058700,0.056500,0.014600,0.055500,0.013100,8.827000,0.028500,0.028700,-0.000200,0.015900,3.631700,0.259400,0.094400,2.863800,3.631700,0.259400,13.131000,0.624500,0.577700,65,35,0.000000,5,5.819700,5,50,0.850500,8.198700,58,0.416500,0.273300,653,55,1.228400,1.574900,16,19,22
000000050,0.009500,0.494300,0.075200,7,0.500000,5.947300,0.424800,5,0.069500,0.063800,0.058800,0.056600,0.014700,0.055600,0.013100,8.826400,0.028500,0.028700,-0.000100,0.015900,3.625700,0.259000,0.094500,2.859100,3.625700,0.259000,13.149100,0.624500,0.577800,65,35,0.000000,5,5.819700,5,50,0.854300,8.204400,58,0.423000,0.275200,647,56,1.225000,1.546600,15,17,26
000000051,0.009500,0.494300,0.075400,7,0.500000,5.944000,0.424600,5,0.069700,0.064000,0.059200,0.056900,0.014900,0.056000,0.013200,8.858200,0.028500,0.028600,-0.000100,0.015900,3.604200,0.257400,0.094700,2.841900,3.604200,0.257400,13.190500,0.624600,0.578000,65,34,0.000000,5,5.835000,5,50,0.854400,8.196400,58,0.420100,0.274000,654,56,1.225600,1.547900,15,17,26
000000052,0.009500,0.494300,0.080700,7,0.500000,5.870600,0.419300,5,0.075000,0.069200,0.065000,0.062600,0.016300,0.061600,0.014800,9.696800,0.033200,0.033300,-0.000200,0.018000,3.455500,0.246800,0.094600,2.745500,3.455500,0.246800,14.107800,0.624600,0.577900,63,33,0.000000,5,5.835000,5,50,0.853500,8.189200,58,0.436100,0.267000,661,58,1.231300,1.584300,16,18,21
000000053,0.009500,0.494300,0.080600,7,0.500000,5.871600,0.419400,5,0.074900,0.069200,0.064900,0.062500,0.016300,0.061500,0.014700,9.634900,0.033100,0.033200,-0.000100,0.017700,3.460100,0.247100,0.094500,2.749800,3.460100,0.247100,14.095100,0.624300,0.577900,63,33,0.000000,5,5.834900,5,50,0.839600,8.197800,58,0.433500,0.270500,654,58,1.231200,1.584200,16,18,21
000000054,0.009500,0.494300,0.080600,7,0.500000,5.871600,0.419400,5,0.074900,0.069200,0.064900,0.062500,0.016300,0.061500,0.014700,9.634900,0.033100,0.033200,-0.000100,0.017700,3.460100,0.247100,0.094500,2.749800,3.460100,0.247100,14.095100,0.624300,0.577900,63,33,0.000000,5,5.834900,5,50,0.839600,8.197800,58,0.433500,0.270500,654,58,1.231200,1.584200,16,18,21
000000055,0.009400,0.494300,0.081400,7,0.500000,5.861100,0.418600,5,0.075600,0.069900,0.065800,0.063400,0.016600,0.062400,0.015100,9.762500,0.033100,0.033200,-0.000100,0.018100,3.426400,0.244700,0.094500,2.726900,3.426400,0.244700,14.226300,0.624300,0.577800,62,33,0.000000,5,5.834900,5,50,0.839600,8.197800,58,0.430600,0.266400,662,57,1.229700,1.573200,16,18,23
000000056,0.009400,0.494300,0.081400,7,0.500000,5.859800,0.418600,5,0.075700,0.070000,0.065900,0.063500,0.016600,0.062500,0.015100,9.769800,0.033100,0.033100,-0.000100,0.018100,3.422000,0.244400,0.094500,2.723700,3.422000,0.244400,14.242900,0.624300,0.577900,62,33,0.000000,5,5.834900,5,50,0.855700,8.194800,58,0.425700,0.274400,643,57,1.225700,1.564800,16,18,24
